"","Name","Link"
"60","Kartika","http://www.tripadvisor.com/Restaurant_Review-g188590-d1047813-Reviews-Kartika-Amsterdam_North_Holland_Province.html"
"61","Bickers aan de Werf","http://www.tripadvisor.com/Restaurant_Review-g188590-d2405553-Reviews-Bickers_aan_de_Werf-Amsterdam_North_Holland_Province.html"
"62","Cafe Piazza","http://www.tripadvisor.com/Restaurant_Review-g188590-d1820979-Reviews-Cafe_Piazza-Amsterdam_North_Holland_Province.html"
"63","Kinnaree Thai Cuisine","http://www.tripadvisor.com/Restaurant_Review-g188590-d783382-Reviews-Kinnaree_Thai_Cuisine-Amsterdam_North_Holland_Province.html"
"64","Midtown Grill","http://www.tripadvisor.com/Restaurant_Review-g188590-d2006595-Reviews-Midtown_Grill-Amsterdam_North_Holland_Province.html"
"65","Restaurant Vermeer","http://www.tripadvisor.com/Restaurant_Review-g188590-d697002-Reviews-Restaurant_Vermeer-Amsterdam_North_Holland_Province.html"
"66","Bolenius","http://www.tripadvisor.com/Restaurant_Review-g188590-d2036882-Reviews-Bolenius-Amsterdam_North_Holland_Province.html"
"67","Cafe De Klos","http://www.tripadvisor.com/Restaurant_Review-g188590-d696918-Reviews-Cafe_De_Klos-Amsterdam_North_Holland_Province.html"
"68","Stubbe's haring","http://www.tripadvisor.com/Restaurant_Review-g188590-d3445394-Reviews-Stubbe_s_haring-Amsterdam_North_Holland_Province.html"
"69","Restaurant RED Amsterdam","http://www.tripadvisor.com/Restaurant_Review-g188590-d786244-Reviews-Restaurant_RED_Amsterdam-Amsterdam_North_Holland_Province.html"
"70","Juuls","http://www.tripadvisor.com/Restaurant_Review-g188590-d3295046-Reviews-Juuls-Amsterdam_North_Holland_Province.html"
"71","Pannenkoekenhuis Upstairs","http://www.tripadvisor.com/Restaurant_Review-g188590-d1419459-Reviews-Pannenkoekenhuis_Upstairs-Amsterdam_North_Holland_Province.html"
"72","Bagels & Beans","http://www.tripadvisor.com/Restaurant_Review-g188590-d1194838-Reviews-Bagels_Beans-Amsterdam_North_Holland_Province.html"
"73","Burger Bar","http://www.tripadvisor.com/Restaurant_Review-g188590-d1799904-Reviews-Burger_Bar-Amsterdam_North_Holland_Province.html"
"74","IL Pacioccone","http://www.tripadvisor.com/Restaurant_Review-g188590-d4548131-Reviews-IL_Pacioccone-Amsterdam_North_Holland_Province.html"
"75","Rob Wigboldus Vishandel","http://www.tripadvisor.com/Restaurant_Review-g188590-d1955652-Reviews-Rob_Wigboldus_Vishandel-Amsterdam_North_Holland_Province.html"
"76","Vlaams Friteshuis Vleminckx","http://www.tripadvisor.com/Restaurant_Review-g188590-d1935384-Reviews-Vlaams_Friteshuis_Vleminckx-Amsterdam_North_Holland_Province.html"
"77","Bakers & Roasters","http://www.tripadvisor.com/Restaurant_Review-g188590-d4173529-Reviews-Bakers_Roasters-Amsterdam_North_Holland_Province.html"
"78","Restaurant Fyra","http://www.tripadvisor.com/Restaurant_Review-g188590-d1808742-Reviews-Restaurant_Fyra-Amsterdam_North_Holland_Province.html"
"79","Small World Catering","http://www.tripadvisor.com/Restaurant_Review-g188590-d1151967-Reviews-Small_World_Catering-Amsterdam_North_Holland_Province.html"
"80","De Zotte","http://www.tripadvisor.com/Restaurant_Review-g188590-d747812-Reviews-De_Zotte-Amsterdam_North_Holland_Province.html"
"81","Cafe P96","http://www.tripadvisor.com/Restaurant_Review-g188590-d3807244-Reviews-Cafe_P96-Amsterdam_North_Holland_Province.html"
"82","Visaandeschelde","http://www.tripadvisor.com/Restaurant_Review-g188590-d697050-Reviews-Visaandeschelde-Amsterdam_North_Holland_Province.html"
"83","Ashoka Restaurant","http://www.tripadvisor.com/Restaurant_Review-g188590-d4328782-Reviews-Ashoka_Restaurant-Amsterdam_North_Holland_Province.html"
"84","Snappers Resto-Bar","http://www.tripadvisor.com/Restaurant_Review-g188590-d6672896-Reviews-Snappers_Resto_Bar-Amsterdam_North_Holland_Province.html"
"85","Restaurant Barrique","http://www.tripadvisor.com/Restaurant_Review-g188590-d5517459-Reviews-Restaurant_Barrique-Amsterdam_North_Holland_Province.html"
"86","The Dylan","http://www.tripadvisor.com/Restaurant_Review-g188590-d697034-Reviews-The_Dylan-Amsterdam_North_Holland_Province.html"
"87","Het Elfde Gebod","http://www.tripadvisor.com/Restaurant_Review-g188590-d1457953-Reviews-Het_Elfde_Gebod-Amsterdam_North_Holland_Province.html"
"88","Burger Bar","http://www.tripadvisor.com/Restaurant_Review-g188590-d2340111-Reviews-Burger_Bar-Amsterdam_North_Holland_Province.html"
"89","Tales and Spirits","http://www.tripadvisor.com/Restaurant_Review-g188590-d3657552-Reviews-Tales_and_Spirits-Amsterdam_North_Holland_Province.html"
"90","Greenwoods Tea Rooms","http://www.tripadvisor.com/Restaurant_Review-g188590-d3200493-Reviews-Greenwoods_Tea_Rooms-Amsterdam_North_Holland_Province.html"
"91","Greenwoods Tea Rooms","http://www.tripadvisor.com/Restaurant_Review-g188590-d3200493-Reviews-Greenwoods_Tea_Rooms-Amsterdam_North_Holland_Province.html"
"92","Foodism","http://www.tripadvisor.com/Restaurant_Review-g188590-d3188413-Reviews-Foodism-Amsterdam_North_Holland_Province.html"
"93","Burger Bar","http://www.tripadvisor.com/Restaurant_Review-g188590-d3541947-Reviews-Burger_Bar-Amsterdam_North_Holland_Province.html"
"94","De Reiger","http://www.tripadvisor.com/Restaurant_Review-g188590-d1232530-Reviews-De_Reiger-Amsterdam_North_Holland_Province.html"
"95","de Struisvogel","http://www.tripadvisor.com/Restaurant_Review-g188590-d2082910-Reviews-De_Struisvogel-Amsterdam_North_Holland_Province.html"
"96","Chez Georges","http://www.tripadvisor.com/Restaurant_Review-g188590-d696899-Reviews-Chez_Georges-Amsterdam_North_Holland_Province.html"
"97","Betty's","http://www.tripadvisor.com/Restaurant_Review-g188590-d753235-Reviews-Betty_s-Amsterdam_North_Holland_Province.html"
"98","Foodhallen","http://www.tripadvisor.com/Restaurant_Review-g188590-d7231902-Reviews-Foodhallen-Amsterdam_North_Holland_Province.html"
"99","Da Portare Via","http://www.tripadvisor.com/Restaurant_Review-g188590-d5565456-Reviews-Da_Portare_Via-Amsterdam_North_Holland_Province.html"
"100","Al Ponte - Caffe' Italiano","http://www.tripadvisor.com/Restaurant_Review-g188590-d4170186-Reviews-Al_Ponte_Caffe_Italiano-Amsterdam_North_Holland_Province.html"
"101","Restaurant Dwars, Amsterdam","http://www.tripadvisor.com/Restaurant_Review-g188590-d4066477-Reviews-Restaurant_Dwars_Amsterdam-Amsterdam_North_Holland_Province.html"
"102","Tasty Asia","http://www.tripadvisor.com/Restaurant_Review-g188590-d1718997-Reviews-Tasty_Asia-Amsterdam_North_Holland_Province.html"
"103","Restaurant PS","http://www.tripadvisor.com/Restaurant_Review-g188590-d789465-Reviews-Restaurant_PS-Amsterdam_North_Holland_Province.html"
"104","De Belhamel","http://www.tripadvisor.com/Restaurant_Review-g188590-d696913-Reviews-De_Belhamel-Amsterdam_North_Holland_Province.html"
"105","Louis","http://www.tripadvisor.com/Restaurant_Review-g188590-d5494165-Reviews-Louis-Amsterdam_North_Holland_Province.html"
"106","Tasca Bellota","http://www.tripadvisor.com/Restaurant_Review-g188590-d2431853-Reviews-Tasca_Bellota-Amsterdam_North_Holland_Province.html"
"107","Shah-jahan","http://www.tripadvisor.com/Restaurant_Review-g188590-d1552511-Reviews-Shah_jahan-Amsterdam_North_Holland_Province.html"
"108","Cafe Loetje","http://www.tripadvisor.com/Restaurant_Review-g188590-d790095-Reviews-Cafe_Loetje-Amsterdam_North_Holland_Province.html"
"109","Barbeque Castell","http://www.tripadvisor.com/Restaurant_Review-g188590-d753106-Reviews-Barbeque_Castell-Amsterdam_North_Holland_Province.html"
"110","Mystique Amsterdam","http://www.tripadvisor.com/Restaurant_Review-g188590-d4163391-Reviews-Mystique_Amsterdam-Amsterdam_North_Holland_Province.html"
